iter	Passed	Remaining
0	19	19022
1	23	11666
2	29	9721
3	36	9021
4	41	8267
5	46	7641
6	50	7149
7	54	6805
8	59	6601
9	63	6332
10	68	6175
11	72	5950
12	76	5780
13	79	5614
14	83	5472
15	86	5331
16	89	5202
17	95	5186
18	99	5157
19	103	5072
20	107	5000
21	111	4940
22	114	4874
23	118	4800
24	121	4737
25	125	4692
26	129	4652
27	132	4600
28	135	4552
29	139	4513
30	142	4456
31	146	4430
32	149	4391
33	153	4368
34	157	4345
35	162	4351
36	165	4317
37	169	4286
38	173	4265
39	176	4247
40	180	4220
41	184	4198
42	187	4169
43	190	4148
44	194	4127
45	198	4110
46	203	4119
47	207	4110
48	210	4090
49	214	4072
50	219	4076
51	224	4088
52	229	4101
53	234	4109
54	241	4146
55	246	4151
56	250	4150
57	255	4151
58	261	4177
59	266	4177
60	272	4192
61	276	4186
62	280	4175
63	284	4164
64	288	4155
65	292	4141
66	296	4130
67	301	4132
68	309	4176
69	314	4173
70	318	4172
71	322	4155
72	327	4155
73	330	4139
74	335	4137
75	340	4135
76	343	4118
77	347	4110
78	352	4107
79	355	4093
80	359	4078
81	363	4065
82	368	4067
83	372	4066
84	376	4050
85	380	4044
86	389	4086
87	394	4092
88	400	4095
89	404	4090
90	408	4082
91	416	4111
92	421	4111
93	425	4105
94	433	4129
95	439	4135
96	444	4137
97	451	4153
98	456	4152
99	461	4149
100	467	4161
101	475	4184
102	480	4187
103	485	4187
104	519	4427
105	524	4426
106	530	4423
107	536	4427
108	547	4478
109	554	4484
110	559	4482
111	564	4472
112	570	4480
113	575	4470
114	579	4458
115	584	4458
116	590	4457
117	593	4438
118	598	4432
119	602	4421
120	606	4407
121	610	4393
122	615	4388
123	619	4377
124	624	4372
125	629	4365
126	643	4421
127	648	4419
128	654	4417
129	658	4407
130	665	4411
131	670	4409
132	675	4403
133	681	4402
134	690	4426
135	701	4457
136	711	4484
137	718	4491
138	727	4504
139	735	4518
140	749	4567
141	777	4700
142	784	4699
143	788	4688
144	795	4691
145	812	4751
146	826	4796
147	831	4788
148	835	4772
149	842	4776
150	848	4769
151	852	4755
152	859	4756
153	863	4743
154	867	4728
155	872	4721
156	877	4713
157	881	4699
158	886	4691
159	917	4819
160	924	4818
161	928	4805
162	932	4790
163	938	4782
164	942	4769
165	946	4755
166	950	4743
167	973	4821
168	988	4860
169	993	4850
170	996	4831
171	1002	4828
172	1007	4816
173	1011	4799
174	1014	4782
175	1034	4845
176	1039	4832
177	1043	4817
178	1046	4800
179	1063	4843
180	1078	4880
181	1085	4879
182	1090	4866
183	1093	4847
184	1098	4837
185	1102	4825
186	1106	4810
187	1110	4794
188	1117	4794
189	1121	4782
190	1125	4766
191	1130	4759
192	1135	4747
193	1139	4735
194	1144	4723
195	1155	4739
196	1161	4733
197	1166	4724
198	1180	4750
199	1184	4736
200	1188	4723
201	1192	4710
202	1211	4757
203	1215	4744
204	1219	4730
205	1223	4714
206	1229	4709
207	1233	4697
208	1237	4683
209	1241	4670
210	1255	4693
211	1259	4682
212	1264	4670
213	1267	4655
214	1271	4640
215	1276	4633
216	1280	4621
217	1284	4608
218	1289	4596
219	1300	4611
220	1305	4600
221	1316	4614
222	1320	4600
223	1325	4591
224	1328	4576
225	1392	4769
226	1399	4767
227	1408	4769
228	1414	4761
229	1420	4756
230	1426	4748
231	1430	4735
232	1435	4724
233	1449	4743
234	1455	4739
235	1460	4727
236	1464	4715
237	1470	4709
238	1475	4697
