SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Female,gender_Male,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,PhoneService_No,PhoneService_Yes,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaperlessBilling_No,PaperlessBilling_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,customerID,Churn
0,1.5783831873086043,1.4674031707816497,2.3748513123198864,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,3407-JMJQQ,0
1,-1.272988351650125,-0.6518565871504705,-0.9827736004059195,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,8080-DDEMJ,1
0,0.7229717256209854,-1.5058618886645878,-0.5472834732797595,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,4893-GYUJU,0
0,-0.3361091317065426,0.45917943617857504,-0.1886069453556778,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,6427-FEFIG,0
0,1.5376493081806224,-0.21075870326162555,0.810520874394744,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,8821-KVZKQ,0
0,-0.13243973606663334,1.187156770867308,0.2450758029657274,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,7663-ZTEGJ,0
0,-0.37684301083452443,-1.3400356165259242,-0.7652709900971358,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0269-XFESX,0
0,-0.8249156812423247,-1.5108366768287476,-0.8972978076639796,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,9837-FWLCH,0
0,1.4154476707966768,-1.4909375241721081,-0.4246021266057941,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,7167-PCEYD,0
0,-0.7841818021143429,-0.2920135766095705,-0.6789355903626907,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,4640-UHDOS,1
0,0.8044394838769491,0.878719904689394,1.0861020597099775,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0750-EBAIU,0
0,1.374713791668695,0.8687703283610743,1.6114541793603483,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,7973-DZRKH,0
0,-0.4175768899625063,-1.509178414107361,-0.8207927853310055,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,9617-UDPEU,0
0,1.2525121542847495,-1.509178414107361,-0.45706882147657213,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,8857-CUPFQ,0
0,-1.0693189560102159,-0.6385904853793775,-0.8769317343030841,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,4647-XXZAM,0
0,1.5783831873086043,1.5436832559654348,2.517722402715259,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,3508-CFVZL,0
0,0.6822378464930036,1.1971063471956278,1.1341739276754679,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,2040-VZIKE,0
0,1.1303105169008039,-0.36995192451474246,0.4243148815055562,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,5110-CHOPY,0
0,1.6191170664365861,1.7725235115167906,2.7651349281222406,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,9924-JPRMC,0
0,-0.9471173186262702,-0.46281463691239416,-0.7982887150913148,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,8314-DPQHL,0
0,-0.5397785273464518,-0.5241703576036995,-0.5814032585207402,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,6937-GCDGQ,0
0,0.9266411212608947,-0.2041256523760789,0.35005806207605744,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,6504-VBLFL,0
0,-1.2322544725221432,-0.6435652735435373,-0.9632010104227213,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0322-CHQRU,1
0,0.9673750003888765,1.487302323438289,1.6215710924259878,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1061-PNTHC,0
0,-0.9063834394982885,-0.6601479007574037,-0.8107199546752379,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,3580-REOAC,1
0,0.31563293434116696,0.6730953272374511,0.4765966196138288,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,4851-BQDNX,0
0,0.11196353870125773,-0.38487628900722226,-0.15146751503846048,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,8318-LCNBW,0
1,-1.2322544725221432,0.17727477354284701,-0.9402120336744378,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,5119-NZPTV,0
0,-0.37684301083452443,-0.35171103457948955,-0.4240951788922653,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0696-UKTOX,0
0,0.6415039673650218,1.343033466677652,1.2003636660983779,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,6891-JPYFF,0
0,-1.272988351650125,-0.4644728996337807,-0.9802829442481477,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,2103-ZRXFN,0
0,1.1303105169008039,1.674686010954979,1.9766328627405598,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,3882-IYOIJ,0
0,0.27489905521318514,-0.2936718393309573,-0.03974064721770413,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,2911-UREFD,1
0,-0.5805124064744337,-1.5174697277142943,-0.8488953216244489,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,2023-VQFDL,0
0,-0.13243973606663334,-1.4892792614507213,-0.7500405174863364,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1498-DQNRX,0
0,1.6191170664365861,1.5304171541943419,2.489884360881048,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,7030-FZTFM,0
0,-0.9063834394982885,-1.487620998729335,-0.9147324007683826,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,4936-YPJNK,0
0,1.0488427586448401,1.1805237199817615,1.501711019983835,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,8091-TTVAX,0
0,1.2525121542847495,1.157308041882349,1.7794742845877356,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,8769-KKTPH,0
0,0.19343129695722142,-0.00015933764552278056,0.031165909061517266,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,3521-SYVOR,1
0,-0.5805124064744337,-0.6087417563944181,-0.6445292694575414,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1337-BOZWO,0
1,0.030495780445294038,0.5255099450340405,0.16839445099326514,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,9369-XFEHK,1
1,-0.0917058569386515,0.3314932066318043,-0.07194284762924971,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0191-ZHSKZ,0
0,-0.13243973606663334,0.08938684930935563,-0.20868648305240486,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,2038-YSEZE,0
0,0.39710069259713066,1.2269550761805874,0.8811849774196692,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1723-HKXJQ,1
0,0.27489905521318514,-0.5606521374742055,-0.17108418743153075,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,2483-XSSMZ,0
