SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Female,gender_Male,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,PhoneService_No,PhoneService_Yes,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaperlessBilling_No,PaperlessBilling_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,customerID,Churn
0,0.1023712383613841,-0.5219756496159262,-0.26225719995201097,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,4950-BDEUX,0
0,-0.7117434584104956,0.3374778078243394,-0.5036347857749957,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,7993-NQLJE,0
0,-0.7931549280876836,-0.8090131942822701,-0.7498829245931361,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,7321-ZNSLA,0
0,-0.2639803751859618,0.2843841579438598,-0.17272239466719,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,4922-CVPDX,0
0,-1.2816237461508113,-0.6762790695810708,-0.9893737196161955,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,2903-YYTBW,0
0,1.3642490183577978,0.48348534499565887,1.2710674769778725,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,8414-OOEEL,0
0,-1.2816237461508113,-1.497571466169742,-1.0002337364297182,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,8562-GHPPI,0
0,0.30589991255435406,-0.27641751891870747,0.03500010874782714,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,8017-UVSZU,0
0,1.3235432835192036,-0.17023021915774814,0.6620728371601656,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1972-XMUWV,0
0,1.1200146093262338,0.5183280527297236,1.1179083307653424,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,2054-PJOCK,0
1,-1.1188008067964355,-0.1669118660402181,-0.8826164634250809,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,8250-ZNGGW,0
0,-1.1188008067964355,-0.5153389433808665,-0.9068814706892347,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,2075-RMJIK,0
0,-1.2409180113122174,-0.46390447005915153,-0.9549288178036082,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,6629-LADHQ,0
0,-0.10115743583158582,0.08860132400959055,-0.13125687592464852,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1810-MVMAI,0
0,0.14307697319997809,1.0111034906829266,0.5155174587473736,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0396-YCHWO,0
0,0.9164859351332638,0.1367174442137754,0.677167163559567,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1303-SRDOK,0
0,-0.06045170099299184,0.6576988836659831,0.1378082679158427,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,2455-USLMV,0
1,-0.1825689055087738,-0.9633166142474143,-0.5816952702649228,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,5697-GOMBF,0
0,-0.6710377235719016,-1.5257774676687466,-0.8655256490862239,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,7469-LKBCI,0
0,-1.0780950719578415,-1.4859572302583868,-0.9516598430455984,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,7787-BNTZM,0
1,-0.22327464034736777,0.695859944517578,-0.034767271993591815,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,6726-WEXXK,0
0,1.0386031396490458,-1.3150620447055927,-0.3619938392131716,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,5995-LFTLE,0
0,1.6084834273893616,1.326347036848275,2.3840765940825652,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,2984-TBYKU,0
0,-0.1825689055087738,-0.9682941439237093,-0.587070430101919,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,7746-AWNQW,0
0,0.30589991255435406,0.667653943018573,0.463499075181995,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,4851-BQDNX,0
0,-1.2816237461508113,-1.4743429943470319,-0.9999265844390328,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,4745-LSPLO,1
0,-1.1188008067964355,0.5000771105833088,-0.8279214696551572,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,6941-PMGEP,1
0,-1.2816237461508113,0.14169497389007057,-0.978557581658485,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,9728-FTTVZ,1
0,-0.8338606629262776,1.3396204493183947,-0.4491811257120391,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,7145-FEJWU,0
0,-1.1188008067964355,1.034331962505636,-0.809975017627962,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0306-JAELE,1
0,1.5677776925507676,0.7024966507526377,1.64394999367006,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,9435-JMLSX,0
0,-1.2002122764736234,0.39886734049864436,-0.9087024432054416,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,5835-BEQEU,1
0,-0.10115743583158582,-1.5025489958460367,-0.7211422740361364,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1577-HKTFG,1
0,-0.30468611002455576,-1.4842980536996218,-0.7860610412103057,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,9621-OUPYD,0
0,0.7943687306174818,-1.3399496930870676,-0.42487223959207304,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,2207-RYYRL,0
1,0.5501343215859179,1.495583045842304,1.1300847132532315,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0691-IFBQW,1
0,-0.9559778674420595,0.18483356441796028,-0.7465700709793139,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,8270-RKSAP,0
0,-0.5489205190561197,0.7273842991341125,-0.32248092955427354,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0168-XZKBB,0
0,-0.8338606629262776,-0.5153389433808665,-0.7405367283051346,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,6789-HJBWG,0
1,0.5094285867473239,1.1206091435614158,0.9769475064686075,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,7856-GANIL,0
0,0.14307697319997809,1.313073624378155,0.6079921473716129,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,8123-QBNAZ,0
0,0.22448844287716607,1.0011484313303363,0.6107345758598762,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,6075-SLNIL,0
0,-1.2816237461508113,-1.5174815848749215,-1.0004970095645918,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,3373-YZZYM,0
0,-0.9152721326034655,1.113972437326356,-0.5535689236892943,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1455-UGQVH,1
0,-0.7931549280876836,-0.6679831867872458,-0.7635511881786404,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,3640-JQGJG,0
0,-0.5896262538947137,0.5664441729339085,-0.3834505997053438,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,3230-WYKIR,1
0,0.18378270803857208,-0.6480730680820658,-0.30988769793616844,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,2580-ASVVY,0
0,-1.1188008067964355,-1.4793205240233267,-0.9553895457896364,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,2739-CCZMB,0
0,-0.8745663977648716,0.33250027814804467,-0.6510896807319381,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,4503-BDXBD,1
0,1.2828375486806096,1.135541732590301,1.698930200002763,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,9974-JFBHQ,0
0,-1.2816237461508113,-0.3112602266527725,-0.984547045476852,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,4727-MCYZG,0
1,0.18378270803857208,0.9148712502745568,0.5151664279008761,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,3990-QYKBE,1
0,0.631545791263106,1.3379612727596297,1.183924069334817,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,6891-JPYFF,0
1,-0.5082147842175256,0.9828974891839214,-0.17537706544382886,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1626-ERCMM,1
0,-0.2639803751859618,0.15165003324266044,-0.21908040583279326,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,8663-UPDGF,0
0,-0.10115743583158582,-1.5108448786398618,-0.7550825690068833,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0839-QNXME,0
0,1.4863662228735797,0.06537285218688103,0.9998083903467704,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,8990-YOZLV,0
