customerID,Churn
3407-JMJQQ,0
8080-DDEMJ,1
4893-GYUJU,0
6427-FEFIG,0
8821-KVZKQ,0
7663-ZTEGJ,0
0269-XFESX,0
9837-FWLCH,0
7167-PCEYD,0
4640-UHDOS,1
0750-EBAIU,0
7973-DZRKH,0
9617-UDPEU,0
8857-CUPFQ,0
4647-XXZAM,0
3508-CFVZL,0
2040-VZIKE,0
5110-CHOPY,0
9924-JPRMC,0
8314-DPQHL,0
6937-GCDGQ,0
6504-VBLFL,0
0322-CHQRU,1
1061-PNTHC,0
3580-REOAC,1
4851-BQDNX,0
8318-LCNBW,0
5119-NZPTV,0
0696-UKTOX,0
6891-JPYFF,0
2103-ZRXFN,0
3882-IYOIJ,0
2911-UREFD,1
2023-VQFDL,0
1498-DQNRX,0
7030-FZTFM,0
4936-YPJNK,0
8091-TTVAX,0
8769-KKTPH,0
3521-SYVOR,1
1337-BOZWO,0
9369-XFEHK,1
0191-ZHSKZ,0
2038-YSEZE,0
1723-HKXJQ,1
2483-XSSMZ,0
2284-VFLKH,0
1179-INLAT,0
6313-GIDIT,1
2988-PLAHS,0
5577-OTWWW,1
4685-ERGHK,0
2419-FSORS,0
7855-DIWPO,0
3669-OYSJI,1
3148-AOIQT,0
6447-EGDIV,0
4897-QSUYC,1
9830-ECLEN,0
1552-AAGRX,0
3086-RUCRN,0
5590-BYNII,1
2522-WLNSF,0
0537-QYZZN,0
4191-XOVOM,0
9541-ZPSEA,0
7873-CVMAW,0
4648-YPBTM,0
5312-IRCFR,0
0305-SQECB,0
7100-FQPRV,0
8007-YYPWD,0
2347-WKKAE,0
4933-BSAIP,0
5846-NEQVZ,0
4534-WGCIR,0
0248-IPDFW,0
9250-WYPLL,1
8718-PTMEZ,1
1897-RCFUM,0
4304-TSPVK,0
2469-DTSGX,0
9039-ZVJDC,0
3914-FDRHP,0
2450-ZKEED,0
8992-JQYUN,1
1981-INRFU,1
5712-PTIWW,1
1465-VINDH,1
6862-CQUMB,0
8337-MSSXB,1
3518-PZXZQ,0
3696-XRIEN,0
7993-NQLJE,0
4075-WKNIU,0
5129-HHMZC,0
0925-VYDLG,1
5177-RVZNU,0
3316-UWXUY,0
0093-EXYQL,0
3655-SNQYZ,0
8713-IGZSO,0
3050-RLLXC,0
6502-MJQAE,1
9916-AYHTC,0
6008-NAIXK,0
0285-INHLN,0
9114-AAFQH,0
9677-AVKED,0
6682-QJDGB,1
7564-GHCVB,0
1708-PBBOA,0
2302-ANTDP,1
4616-ULAOA,0
0795-XCCTE,0
2139-FQHLM,0
3648-GZPHF,0
1196-AMORA,1
7883-ROJOC,0
7102-JJVTX,0
9185-TQCVP,1
5066-GFJMM,0
9140-CZQZZ,0
3049-SOLAY,1
4950-BDEUX,0
8272-ONJLV,0
9500-WBGRP,0
7606-BPHHN,0
9795-SHUHB,0
1534-OULXE,0
3398-GCPMU,0
6339-TBELP,0
7105-BENQF,0
8981-FJGLA,0
6647-ZEDXT,0
3902-MIVLE,0
2013-SGDXK,1
1622-HSHSF,0
1122-JWTJW,1
8203-XJZRC,0
2481-SBOYW,0
7472-EQOAV,0
2739-CCZMB,0
9355-NPPFS,0
5016-ETTFF,1
5380-AFSSK,1
8903-WMRNW,0
8165-CBKXO,0
5844-QVTAT,0
6029-CSMJE,0
5294-CDGWY,1
1814-WFGVS,0
1846-XWOQN,1
8409-WQJUX,0
5087-SUURX,1
4998-IKFSE,0
3445-HXXGF,1
2931-SVLTV,0
6198-RTPMF,0
5349-AZPEW,0
6257-DTAYD,0
8010-EZLOU,1
6122-EFVKN,0
9917-KWRBE,0
5644-PDMZC,1
5103-MHMHY,1
9891-NQDBD,0
5702-KVQRD,0
4135-FRWKJ,0
8261-GWDBQ,0
8652-YHIYU,0
5514-YQENT,0
1173-XZPYF,0
9621-OUPYD,0
7786-WBJYI,1
6407-GSJNL,0
6629-LADHQ,0
4361-FEBGN,0
1564-HJUVY,0
3943-KDREE,1
6416-YJTTB,0
3352-RICWQ,0
5482-PLVPE,1
4929-XIHVW,0
1062-LHZOD,1
7446-YPODE,0
7541-YLXCL,1
5650-VDUDS,1
2754-SDJRD,0
0885-HMGPY,0
6288-LBEAR,0
8661-BOYNW,0
3889-VWBID,0
4526-RMTLL,0
1017-FBQMM,0
3976-HXHCE,0
5966-EMAZU,0
4697-LUPSU,0
4981-FLTMF,0
7239-HZZCX,1
7622-NXQZR,0
2640-LYMOV,0
2400-XIWIO,0
7691-KGKGP,0
4926-UMJZD,0
6035-BXTTY,0
2344-JMOGN,1
2569-WGERO,0
4658-HCOHW,1
7245-JMTTQ,0
2433-KMEAS,1
1207-BLKSA,0
5906-CVLHP,1
8242-SOQUO,0
0481-SUMCB,0
9025-AOMKI,1
4514-GFCFI,1
8562-GHPPI,0
6127-IYJOZ,0
9094-AZPHK,0
1597-LHYNC,1
9189-JWSHV,1
5949-XIKAE,1
8325-QRPZR,0
7924-GJZFI,0
3272-VUHPV,0
7777-UNYHB,0
8869-LIHMK,0
7435-ZNUYY,0
2159-TURXX,0
5175-WLYXL,0
2674-MLXMN,0
8871-JLMHM,0
3034-ZBEQN,1
7964-YESJC,0
3167-SNQPL,0
4086-WITJG,0
7511-YMXVQ,1
6345-HOVES,0
8039-EQPIM,0
3721-WKIIL,0
0612-RTZZA,1
1393-IMKZG,0
3871-IKPYH,1
0128-MKWSG,0
2359-QWQUL,1
5939-SXWHM,0
9631-RXVJM,0
9881-VCZEP,0
7743-EXURX,1
2097-YVPKN,0
8414-OOEEL,0
6332-FBZRI,0
9272-LSVYH,0
6133-OZILE,0
5275-PMFUT,0
0277-ORXQS,0
8929-KSWIH,0
2700-LUEVA,0
3038-PQIUY,0
9274-UARKJ,0
3813-DHBBB,0
0301-FIDRB,0
7470-DYNOE,0
1228-ZLNBX,0
7872-BAAZR,0
4546-FOKWR,0
9117-SHLZX,1
5906-DVAPM,0
0064-SUDOG,0
1271-UODNO,0
2453-SAFNS,0
0991-BRRFB,1
0480-BIXDE,0
7156-MHUGY,1
4635-EJYPD,0
8734-FNWVH,0
1114-CENIM,1
8605-ITULD,0
1049-FYSYG,0
7563-BIUPC,1
9801-NOSHQ,0
0068-FIGTF,0
9137-NOQKA,0
9867-NNXLC,0
1853-ARAAQ,0
2560-WBWXF,0
3635-QQRQD,0
8628-MFKAX,0
5515-AKOAJ,1
3521-MNKLV,0
0463-WZZKO,0
1010-DIAUQ,1
0689-NKYLF,1
5298-GSTLM,0
6202-DYYFX,0
8909-BOLNL,0
7486-KSRVI,1
2919-HBCJO,1
4458-KVRBJ,0
8107-KNCIM,0
0886-QGENL,1
2636-OHFMN,1
3587-PMCOY,0
4130-MZLCC,0
6507-ZJSUR,0
4116-IQRFR,0
2194-IIQOF,0
6275-YDUVO,1
4547-KQRTM,1
6994-KERXL,0
5565-FILXA,1
7241-AJHFS,0
8374-XGEJJ,1
8022-BECSI,0
3217-FZDMN,1
6856-RAURS,0
6016-NXBNJ,0
4550-VBOFE,1
2832-KJCRD,0
2710-WYVXG,0
8017-LXHFA,1
1302-UHBDD,0
5895-QSXOD,0
1169-SAOCL,0
6772-WFQRD,0
7009-PCARS,0
6164-HXUGH,0
5397-TUPSH,0
9921-EZKBY,0
3067-SVMTC,0
5701-GUXDC,0
0141-YEAYS,0
5995-LFTLE,0
1955-IBMMB,0
6543-JXSOO,0
2219-MVUSO,1
9574-RKJIF,1
1430-SFQSA,0
7850-VWJUU,0
3727-OWVYD,0
0308-GIQJT,0
8111-SLLHI,1
7109-MFBYV,0
7558-IMLMT,0
5474-LAMUQ,0
5498-IBWPI,0
7538-GWHML,1
9814-AOUDH,0
0899-LIIBW,0
4829-AUOAX,1
6615-NGGZJ,1
5995-OIGLP,1
3815-SLMEF,1
8405-IGQFX,0
9658-WYUFB,1
8265-HKSOW,0
2955-PSXOE,1
1591-MQJTP,0
7055-JCGNI,0
1028-FFNJK,0
0939-EREMR,0
0334-ZFJSR,0
7208-PSIHR,0
8746-OQQRW,0
3190-XFANI,1
4430-UZIPO,1
2996-XAUVF,0
8080-POTJR,0
5143-WMWOG,1
9441-QHEVC,0
0835-DUUIQ,0
5539-HIVAK,0
7519-JTWQH,0
1222-LRYKO,0
6968-MHOMU,0
2011-TRQYE,1
1976-AZZPJ,0
7878-RTCZG,0
9838-BFCQT,0
4940-KHCWD,0
8671-KKKOS,0
9714-EDSUC,0
5365-LLFYV,0
7277-KAMWT,0
8984-HPEMB,0
2580-ASVVY,0
9030-QGZNL,0
3688-FTHLT,0
2676-OXPPQ,0
8086-OVPWV,1
2325-WINES,0
9281-CEDRU,0
3363-EWLGO,0
8990-YOZLV,0
9846-GKXAS,1
3269-ATYWD,1
2931-FSOHN,0
5133-POWUA,0
0917-EZOLA,1
2001-EWBQU,0
5685-IIXLY,1
9717-QEBGU,0
6778-YSNIH,0
3967-KXAPS,0
5956-YHHRX,0
9839-ETQOE,0
3658-QQJYD,0
2001-MCUUW,0
2235-ZGKPT,1
5935-FCCNB,0
8958-JPTRR,0
5789-LDFXO,0
1624-NALOJ,1
7037-MTYVW,0
7789-HKSBS,0
9102-OXKFY,0
1084-UQCHV,1
1832-PEUTS,0
6469-QJKZW,0
9504-YAZWB,0
0931-MHTEM,0
7293-LSCDV,0
0723-DRCLG,1
7450-NWRTR,1
4737-AQCPU,0
1323-OOEPC,1
6266-QHOJZ,0
9253-VIFJQ,0
7176-WRTNX,0
3428-MMGUB,0
3374-TTZTK,0
1442-OKRJE,0
4223-BKEOR,0
7852-LECYP,0
7336-RLLRH,0
2582-FFFZR,0
3295-YVUSR,0
2235-DWLJU,0
8851-RAGOV,0
1320-GVNHT,0
3280-MRDOF,0
6603-YRDCJ,0
7351-MHQVU,0
8295-KMENE,0
9432-VOFYX,0
9360-AHGNL,1
6599-SFQVE,0
2192-CKRLV,0
0380-NEAVX,0
6651-AZVTJ,1
4195-PNGZS,0
6668-CNMFP,0
2988-GBIVW,0
1704-NRWYE,1
1941-HOSAM,0
6087-YPWHO,0
6048-UWKAL,0
7853-OETYL,0
1764-VUUMT,0
5569-OUICF,1
8329-IBCTI,1
0310-VQXAM,0
9495-REDIY,0
0311-QYWSS,0
8152-VETUR,0
0960-HUWBM,0
1354-YZFNB,0
7795-CFOCW,0
3640-JQGJG,0
2272-JKMSI,0
5130-IEKQT,1
7797-EJMDP,0
6586-MYGKD,0
7845-URHJN,1
4538-WNTMJ,0
8099-MZPUJ,0
2829-HYVZP,0
0643-OKLRP,1
4800-VHZKI,1
8017-UVSZU,0
3976-BWUCK,1
8775-CEBBJ,1
4223-WOZCM,0
8204-TIFGJ,0
2379-GYFLQ,0
5248-KWLAR,0
9046-DQMTP,0
0423-UDIJQ,0
0168-XZKBB,0
2621-UDNLU,0
6341-JVQGF,0
7746-QYVCO,0
3021-VLNRJ,0
9127-FHJBZ,0
4831-EOBFE,1
4983-CLMLV,0
2146-EGVDT,0
3677-TNKIO,1
4608-LCIMN,0
6408-OTUBZ,0
2560-QTSBS,0
9631-XEYKE,0
9708-KFDBY,0
2049-BAFNW,0
9531-NSBMR,0
4803-LBYPN,0
1213-NGCUN,1
5707-ORNDZ,1
6569-KTMDU,0
9146-JRIOX,0
4381-MHQDC,0
4881-GQJTW,0
4716-MRVEN,0
9278-VZKCD,0
0793-TWELN,0
0674-DGMAQ,0
0674-GCDXG,0
0214-JHPFW,0
1436-ZMJAN,0
9330-IJWIO,1
5552-ZNFSJ,1
3729-OWRVL,0
1459-QNFQT,0
7587-AOVVU,0
5542-DHSXL,0
6121-TNHBO,0
3312-UUMZW,0
5898-IGSLP,0
6897-UUBNU,0
1468-DEFNC,0
5447-WZAFP,0
6549-NNDYT,0
3969-JQABI,0
1754-GKYPY,0
5702-SKUOB,0
7665-TOALD,1
6234-RAAPL,0
0743-HNPFG,0
1577-HKTFG,1
7501-IWUNG,0
0133-BMFZO,1
3453-RTHJQ,0
2239-JALAW,1
6479-SZPLM,0
5320-BRKGK,0
1449-XQEMT,1
6586-PSJOX,0
1548-FEHVL,0
9470-YFUYI,0
8049-WJCLQ,0
7064-FRRSW,0
4576-CSAJH,1
7524-VRLPL,0
8305-VHZBZ,1
0946-CLJTI,1
5884-GCYMI,1
8434-PNQZX,0
7228-OMTPN,1
0318-ZOPWS,0
2141-RRYGO,1
6661-EIPZC,0
0373-AIVNJ,0
3137-NYQQI,0
3763-GCZHZ,1
4487-ZYJZK,0
9746-MDMBK,0
9408-HRXRK,0
0953-LGOVU,0
2452-SNHFZ,0
6214-EDAKZ,1
0459-SPZHJ,0
8982-NHAVY,0
6425-YQLLO,1
0207-MDKNV,1
7365-BVCJH,0
9975-GPKZU,0
3374-PZLXD,0
0212-ISBBF,0
6229-UOLQL,0
5067-DGXLL,0
2324-EFHVG,0
3030-YZADT,1
5791-KAJFD,0
4512-ZUIYL,1
1965-AKTSX,1
2664-XJZNO,0
9063-ZGTUY,1
0136-IFMYD,0
7975-JMZNT,0
4919-MOAVT,1
8908-NMQTX,0
0215-BQKGS,0
4525-VZCZG,0
4250-ZBWLV,1
9227-YBAXE,0
9588-OZDMQ,0
0804-XBFBV,0
9448-REEVD,1
2068-WWXQZ,0
1303-SRDOK,0
5091-HFAZW,0
5161-UBZXI,0
1074-AMIOH,0
6681-ZSEXG,0
0822-QGCXA,0
3585-ISXZP,1
5982-FPVQN,0
1810-MVMAI,0
2040-XBAVJ,0
2533-TIBIX,0
1293-HHSHJ,0
7632-MNYOY,1
8020-BWHYL,1
2037-XJFUP,1
7752-XUSCI,1
3160-TYXLT,0
0961-ZWLVI,0
5977-CKHON,0
1768-HNVGJ,0
9530-EHPOH,1
4026-SKKHW,0
3370-GQEAL,0
5641-DMBFJ,0
9800-ONTFE,0
1834-ABKHQ,0
1429-UYJSV,0
1027-LKKQQ,0
0248-PGHBZ,0
3156-QLHBO,0
8752-GHJFU,0
4868-AADLV,0
5555-RNPGT,0
7242-QZLXF,1
3372-CDXFJ,0
3946-MHCZW,1
9060-HJJRW,0
4083-BFNYK,0
2207-QPJED,0
1575-KRZZE,0
6347-DCUIK,1
1091-SOZGA,0
6922-NCEDI,0
1573-LGXBA,0
3466-RITXD,0
7898-PDWQE,0
1763-KUAAW,0
9424-CMPOG,0
0178-CIIKR,0
2703-AMTUL,0
4844-JJWUY,1
3999-QGRJH,1
3249-ZPQRG,1
8849-GYOKR,1
5945-AZYHT,0
6304-IJFSQ,1
5214-NLTIT,0
9099-FTUHS,0
6180-YBIQI,0
6543-XRMYR,1
7080-TNUWP,0
8263-QMNTJ,0
3886-CERTZ,1
2189-WWOEW,1
9921-QFQUL,0
9743-DQKQW,0
4957-TREIR,0
3144-KMTWZ,0
4923-ADWXJ,0
4837-QUSFT,0
8118-TJAFG,0
2878-RMWXY,0
8183-ONMXC,1
8040-MNRTF,0
6158-HDPXZ,0
6265-FRMTQ,0
3352-ALMCK,0
7881-INRLC,1
5173-ZXXXL,0
2898-LSJGD,1
3566-HJGPK,0
8229-BUJHX,0
7665-NKLAV,0
2625-TRCZQ,0
2860-RANUS,1
3704-IEAXF,0
2408-WITXK,1
9114-DPSIA,0
0641-EVBOJ,0
6469-MRVET,0
0971-QIFJK,0
5144-PQCDZ,0
4529-CKBCL,1
8512-WIWYV,0
9693-XMUOB,0
9689-PTNPG,1
1833-VGRUM,1
8597-CTXVJ,0
9776-OJUZI,0
3178-FESZO,1
2706-QZIHY,0
0699-NDKJM,0
1230-QAJDW,0
9818-XQCUV,0
0680-DFNNY,1
4432-ADRLB,1
3620-MWJNE,0
8630-FJLIB,0
9259-PACGQ,1
6161-UUUTA,1
7197-VOJMM,0
3389-YGYAI,1
6439-PKTRR,0
7576-OYWBN,1
8316-BBQAY,0
2037-SGXHH,1
0314-TKOSI,0
9643-YBLUR,0
7682-AZNDK,0
4625-XMOYM,0
8085-MSNLK,0
1790-NESIO,0
8454-AATJP,0
6776-TLWOI,1
8309-PPCED,0
8819-IMISP,0
2277-DJJDL,0
7860-UXCRM,0
7131-ZQZNK,0
7696-CFTAT,0
7825-GKXMW,1
2959-EEXWB,0
6128-AQBMT,0
0550-DCXLH,0
0082-LDZUE,0
7921-BEPCI,0
9953-ZMKSM,0
3162-ZJZFU,0
9058-CBREO,1
2672-TGEFF,0
5520-FVEWJ,1
6892-BOGQE,0
9637-EIHEQ,1
7839-NUIAA,0
5650-YLIBA,0
7346-MEDWM,0
3348-CFRNX,1
4355-CVPVS,0
3520-FJGCV,0
1336-EZFZY,0
3727-RJMEO,1
8466-PZBLH,0
4350-ZTLPI,0
9848-JQJTX,0
8564-LDKFL,0
9086-YJYXS,0
8668-KNZTI,0
9492-TOKRI,1
4937-QPZPO,0
0786-IVLAW,0
0379-DJQHR,0
0623-IIHUG,1
2608-BHKFN,1
2080-SRCDE,0
1455-ESIQH,1
6567-HOOPW,1
7526-BEZQB,1
4853-RULSV,1
5692-ICXLW,0
3508-VLHCZ,0
5902-WBLSE,0
4323-ELYYB,0
6869-FGJJC,0
6950-TWMYB,0
7950-XWOVN,0
7754-IXRMC,0
4702-HDRKD,0
6086-ESGRL,1
0921-OHLVP,0
8286-AFUYI,0
9780-FKVVF,0
3190-FZATL,0
6350-XFYGW,0
6397-JNZZG,1
0601-WZHJF,1
4749-VFKVB,1
5493-SDRDQ,1
8347-GDTMP,0
9530-GRMJG,0
2623-DRYAM,0
9845-QOMAD,0
2675-DHUTR,0
2019-HDCZY,0
5227-JSCFE,0
6034-YMTOB,0
